Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Fabian Schär,456,chSUI,DF,Newcastle Utd,33-140,1991,31,30,"2,664",29.6,4,0,4,4,0,0,7,1,2.4,2.4,0.4,2.8,14,102,18,0.14,0.00,0.14,0.14,0.14,0.08,0.01,0.10,0.08,0.10,Matches
Fabio Carvalho,85,ptPOR,"FW,MF",Brentford,22-252,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.40,0.20,0.59,0.40,0.59,0.49,0.13,0.62,0.49,0.62,Matches
Facundo Buonanotte,74,arARG,"FW,MF",Leicester City,20-137,2004,29,14,"1,474",16.4,4,2,6,4,0,0,7,0,3.8,3.8,3.1,6.8,38,52,69,0.24,0.12,0.37,0.24,0.37,0.23,0.19,0.42,0.23,0.42,Matches
Federico Chiesa,95,itITA,FW,Liverpool,27-196,1997,5,0,46,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,7,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.49,0.49,Matches
Ferdi Kadioglu,271,trTUR,"DF,MF",Brighton,25-214,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14,Matches
Filip Jørgensen,270,dkDEN,GK,Chelsea,23-023,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Flynn Downes,148,engENG,MF,Southampton,26-109,1999,24,22,"1,881",20.9,1,0,1,1,0,0,10,0,0.6,0.6,1.1,1.7,25,63,28,0.05,0.00,0.05,0.05,0.05,0.03,0.05,0.08,0.03,0.08,Matches
Frank Onyeka,395,ngNGA,MF,Brentford,27-128,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Fraser Forster,186,engENG,GK,Tottenham,37-053,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Jesus,258,brBRA,FW,Arsenal,28-036,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54,Matches
Gabriel Magalhães,317,brBRA,DF,Arsenal,27-141,1997,28,28,"2,363",26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.10,0.03,0.13,0.10,0.13,Matches
Gabriel Martinelli,327,brBRA,"FW,MF",Arsenal,23-325,2001,30,22,"2,041",22.7,7,4,11,7,0,0,1,0,5.9,5.9,4.7,10.6,112,47,267,0.31,0.18,0.49,0.31,0.49,0.26,0.21,0.47,0.26,0.47,Matches
George Edmundson,155,engENG,DF,Ipswich Town,27-251,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
George Hirst,239,sctSCO,FW,Ipswich Town,26-083,1999,23,3,493,5.5,3,1,4,3,0,0,2,0,1.6,1.6,0.3,1.9,9,13,29,0.55,0.18,0.73,0.55,0.73,0.28,0.06,0.35,0.28,0.35,Matches
Georginio Rutter,441,frFRA,"MF,FW",Brighton,23-019,2002,28,19,"1,656",18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches
Gonçalo Guedes,215,ptPOR,"MF,FW",Wolves,28-161,1996,26,7,783,8.7,2,4,6,2,0,0,1,0,2.2,2.2,1.1,3.3,32,31,60,0.23,0.46,0.69,0.23,0.69,0.26,0.13,0.38,0.26,0.38,Matches
Guglielmo Vicario,532,itITA,GK,Tottenham,28-214,1996,23,23,"2,070",23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Guido Rodríguez,437,arARG,MF,West Ham,31-027,1994,20,14,"1,018",11.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,31,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Gustavo Nunes,379,brBRA,"FW,MF",Brentford,19-170,2005,3,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Hamza Choudhury,98,bdBAN,"MF,DF",Leicester City,27-220,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
Harrison Armstrong,34,engENG,MF,Everton,18-110,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Matches
