Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Pape Matar Sarr,330,snSEN,MF,Tottenham,22-237,2002,19.2,42,2.19,34,2,2,3,0,1,6,0.31,4,0,1,1,0,0,Matches
Patrick Dorgu,144,dkDEN,DF,Manchester Utd,20-195,2004,7.0,13,1.86,12,0,0,0,1,0,1,0.14,0,0,0,0,1,0,Matches
Patson Daka,116,zmZAM,"FW,MF",Leicester City,26-212,1998,7.3,10,1.38,7,0,2,1,0,0,1,0.14,0,0,1,0,0,0,Matches
Pau Torres,511,esESP,DF,Aston Villa,28-113,1997,20.2,12,0.59,9,0,0,3,0,0,2,0.10,1,0,0,1,0,0,Matches
Paul Onuachu,394,ngNGA,FW,Southampton,30-346,1994,11.4,9,0.79,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Pedro Lima,305,brBRA,DF,Wolves,18-312,2006,0.8,4,5.14,2,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Pedro Neto,376,ptPOR,FW,Chelsea,25-061,2000,22.4,85,3.80,63,8,5,5,4,0,8,0.36,5,1,2,0,0,0,Matches
Pedro Porro,417,esESP,DF,Tottenham,25-238,1999,27.4,104,3.80,69,22,3,5,4,1,8,0.29,4,3,1,0,0,0,Matches
Pervis Estupiñán,168,ecECU,DF,Brighton,27-108,1998,24.7,52,2.11,34,13,0,2,3,0,4,0.16,3,0,0,0,1,0,Matches
Phil Foden,183,engENG,"MF,FW",Manchester City,24-346,2000,18.8,84,4.47,56,18,2,5,3,0,9,0.48,5,1,0,3,0,0,Matches
Philip Billing,58,dkDEN,MF,Bournemouth,28-332,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
Radu Drăgușin,150,roROU,DF,Tottenham,23-095,2002,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Raheem Sterling,485,engENG,"FW,MF",Arsenal,30-152,1994,4.9,18,3.71,14,0,2,2,0,0,3,0.62,3,0,0,0,0,0,Matches
Ramón Sosa,478,pyPAR,"FW,MF",Nott'ham Forest,25-251,1999,3.3,14,4.23,11,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Rasmus Højlund,245,dkDEN,FW,Manchester Utd,22-094,2003,19.4,30,1.55,20,0,3,4,3,0,1,0.05,0,0,0,0,1,0,Matches
Rayan Aït-Nouri,9,dzALG,DF,Wolves,23-337,2001,31.8,78,2.45,47,13,7,7,3,1,12,0.38,10,1,0,0,0,1,Matches
Raúl Jiménez,259,mxMEX,FW,Fulham,34-004,1991,24.7,57,2.31,40,1,2,9,4,1,6,0.24,3,0,0,1,1,1,Matches
Reece James,253,engENG,"DF,MF",Chelsea,25-152,1999,9.3,15,1.61,9,5,0,1,0,0,1,0.11,0,0,0,1,0,0,Matches
Reiss Nelson,373,engENG,FW,Arsenal,25-150,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Remy Rees-Dottin,426,engENG,FW,Bournemouth,19-064,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Renato Veiga,527,ptPOR,"DF,MF",Chelsea,21-284,2003,2.0,1,0.49,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ricardo Pereira,408,ptPOR,DF,Leicester City,31-215,1993,3.8,3,0.79,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Riccardo Calafiori,82,itITA,DF,Arsenal,22-355,2002,10.3,13,1.26,11,0,1,1,0,0,2,0.19,2,0,0,0,0,0,Matches
Richarlison,432,brBRA,FW,Tottenham,27-364,1997,5.3,8,1.51,5,0,0,2,1,0,1,0.19,1,0,0,0,0,0,Matches
Rico Henry,234,engENG,DF,Brentford,27-305,1997,0.9,1,1.08,1,0,0,0,0,0,1,1.08,1,0,0,0,0,0,Matches
Rico Lewis,301,engENG,"DF,MF",Manchester City,20-169,2004,20.2,31,1.54,30,0,0,0,1,0,3,0.15,3,0,0,0,0,0,Matches
