Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Gonçalo Guedes,215,ptPOR,"MF,FW",Wolves,28-161,1996,8.7,23,2.64,21,0,1,0,1,0,8,0.92,7,0,1,0,0,0,Matches
Guglielmo Vicario,532,itITA,GK,Tottenham,28-214,1996,23.0,4,0.17,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Guido Rodríguez,437,arARG,MF,West Ham,31-027,1994,11.3,10,0.88,8,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Gustavo Nunes,379,brBRA,"FW,MF",Brentford,19-170,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hamza Choudhury,98,bdBAN,"MF,DF",Leicester City,27-220,1997,1.5,3,2.05,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Harrison Armstrong,34,engENG,MF,Everton,18-110,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Harrison Reed,425,engENG,MF,Fulham,30-102,1995,1.2,1,0.89,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Harry Amass,20,engENG,DF,Manchester Utd,18-054,2007,2.8,6,2.11,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Harry Clarke,100,engENG,DF,Ipswich Town,24-068,2001,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Harry Maguire,319,engENG,DF,Manchester Utd,32-065,1993,17.1,17,0.99,12,1,0,4,0,0,0,0.00,0,0,0,0,0,0,Matches
Harry Toffolo,508,engENG,DF,Nott'ham Forest,29-263,1995,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Harry Wilson,554,wlsWAL,"FW,MF",Fulham,28-048,1997,11.1,37,3.32,27,6,0,1,2,1,3,0.27,2,0,0,0,1,0,Matches
Harry Winks,555,engENG,MF,Leicester City,29-096,1996,17.1,39,2.28,29,7,1,1,1,0,3,0.18,2,1,0,0,0,0,Matches
Harvey Barnes,46,engENG,FW,Newcastle Utd,27-151,1997,16.7,57,3.40,40,1,6,5,5,0,9,0.54,6,0,1,1,1,0,Matches
Harvey Elliott,161,engENG,"MF,FW",Liverpool,22-035,2003,3.0,15,5.06,11,3,1,0,0,0,2,0.67,2,0,0,0,0,0,Matches
Hwang Hee-chan,232,krKOR,"MF,FW",Wolves,29-103,1996,7.2,9,1.24,8,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
Hákon Rafn Valdimarsson,419,isISL,GK,Brentford,23-208,2001,1.6,2,1.24,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ian Maatsen,313,nlNED,DF,Aston Villa,23-060,2002,10.6,49,4.60,36,3,4,5,0,1,7,0.66,6,0,1,0,0,0,Matches
Ibrahim Sangaré,448,ciCIV,MF,Nott'ham Forest,27-158,1997,4.1,6,1.46,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ibrahima Konaté,286,frFRA,DF,Liverpool,25-349,1999,25.8,30,1.16,25,0,0,4,0,1,7,0.27,6,0,0,0,0,1,Matches
Idrissa Gana Gueye,192,snSEN,MF,Everton,35-225,1989,31.0,56,1.80,48,0,1,2,3,2,3,0.10,3,0,0,0,0,0,Matches
Igor,246,brBRA,DF,Brighton,27-091,1998,10.0,11,1.10,10,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Iliman Ndiaye,370,snSEN,FW,Everton,25-064,2000,25.0,59,2.36,45,0,7,1,6,0,5,0.20,3,0,1,0,1,0,Matches
Illia Zabarnyi,565,uaUKR,DF,Bournemouth,22-250,2002,31.6,28,0.89,25,1,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Ismaila Sarr,451,snSEN,"MF,FW",Crystal Palace,27-073,1998,27.6,101,3.66,74,0,6,7,14,0,10,0.36,7,0,1,0,2,0,Matches
Issa Diop,136,frFRA,DF,Fulham,28-120,1997,14.9,6,0.40,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jack Clarke,101,engENG,"FW,MF",Ipswich Town,24-167,2000,11.7,40,3.41,34,2,2,0,0,2,5,0.43,4,1,0,0,0,0,Matches
