Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Brajan Gruda,213,deGER,"FW,MF",Brighton,20-343,2004,5.6,0,4,2,50.0,0.71,0.35,0.00,0.00,16.8,2,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
Brandon Austin,37,engENG,GK,Tottenham,26-121,1999,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Brennan Johnson,264,wlsWAL,FW,Tottenham,23-351,2001,23.1,11,53,20,37.7,2.29,0.86,0.21,0.55,11.4,0,0,0,9.8,9.8,0.19,+1.2,+1.2,Matches
Bruno Fernandes,179,ptPOR,MF,Manchester Utd,30-243,1994,30.6,8,83,25,30.1,2.71,0.82,0.06,0.20,21.9,12,3,3,9.5,7.1,0.09,-1.5,-2.1,Matches
Bruno Guimarães,218,brBRA,MF,Newcastle Utd,27-174,1997,33.4,4,39,10,25.6,1.17,0.30,0.10,0.40,16.3,0,0,0,3.9,3.9,0.10,+0.1,+0.1,Matches
Bryan Mbeumo,335,cmCMR,FW,Brentford,25-275,1999,34.9,18,71,30,42.3,2.03,0.86,0.18,0.43,17.7,6,5,5,10.8,6.9,0.10,+7.2,+6.1,Matches
Bukayo Saka,443,engENG,"FW,MF",Arsenal,23-246,2001,17.1,6,58,20,34.5,3.39,1.17,0.09,0.25,15.5,1,1,1,6.3,5.5,0.10,-0.3,-0.5,Matches
Caleb Kporha,289,engENG,DF,Crystal Palace,18-298,2006,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Caleb Okoli,390,itITA,DF,Leicester City,23-300,2001,12.5,1,4,2,50.0,0.32,0.16,0.25,0.50,13.5,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
Callum Hudson-Odoi,241,engENG,"FW,MF",Nott'ham Forest,24-183,2000,23.9,5,37,17,45.9,1.55,0.71,0.14,0.29,18.3,0,0,0,2.5,2.5,0.07,+2.5,+2.5,Matches
Callum Wilson,553,engENG,FW,Newcastle Utd,33-071,1992,3.2,0,6,1,16.7,1.89,0.32,0.00,0.00,15.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Calvin Bassey,47,ngNGA,DF,Fulham,25-129,1999,32.2,1,14,4,28.6,0.44,0.12,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Cameron Archer,30,engENG,FW,Southampton,23-292,2001,15.3,2,27,9,33.3,1.77,0.59,0.07,0.22,13.1,0,0,1,5.1,4.3,0.16,-3.1,-2.3,Matches
Cameron Burgess,75,auAUS,DF,Ipswich Town,29-200,1995,16.1,0,9,1,11.1,0.56,0.06,0.00,0.00,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Caoimhín Kelleher,276,ieIRL,GK,Liverpool,26-167,1998,10.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Carlos Alcaraz,13,arARG,MF,Southampton,22-160,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Carlos Baleba,44,cmCMR,MF,Brighton,21-126,2004,26.7,3,41,11,26.8,1.54,0.41,0.07,0.27,25.3,1,0,0,3.0,3.0,0.07,0.0,0.0,Matches
Carlos Forbs,185,ptPOR,"MF,FW",Wolves,21-051,2004,2.7,0,2,0,0.0,0.75,0.00,0.00,N/a,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Carlos Soler,476,esESP,"MF,FW",West Ham,28-127,1997,15.1,1,24,7,29.2,1.59,0.46,0.04,0.14,19.1,1,0,0,1.7,1.7,0.07,-0.7,-0.7,Matches
Carlos Vinícius,533,brBRA,"MF,FW",Fulham,30-045,1995,0.2,0,1,1,100.0,5.63,5.63,0.00,0.00,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Casemiro,86,brBRA,MF,Manchester Utd,33-075,1992,14.8,1,28,8,28.6,1.89,0.54,0.04,0.13,18.8,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
Chadi Riad,429,maMAR,DF,Crystal Palace,21-326,2003,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Charlie Taylor,498,engENG,DF,Southampton,31-233,1993,3.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Cheick Doucouré,147,mlMLI,MF,Crystal Palace,25-121,2000,5.0,0,7,0,0.0,1.39,0.00,0.00,N/a,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Chidozie Obi-Martin,387,dkDEN,FW,Manchester Utd,17-161,2007,1.7,0,4,1,25.0,2.32,0.58,0.00,0.00,10.8,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
